word,0,1,2,3,4
representation,-1.0403916,-0.6341336,-0.1734674,1.3035097,-0.6080921
local,-1.5876501,-0.1354043,-1.1593496,1.3802379,0.1557454
global,-1.4365977,0.5148603,-0.9771545,1.3649131,-0.043401446
dialog,-0.2099078,0.91975325,0.43046924,-0.23797566,0.05480408
act,0.4218948,0.037913583,0.12641974,0.49313658,0.0407486
olume,-1.123637,0.8499457,0.49954423,0.0340744,-1.0722483
ﬁrst,-0.24046892,-0.7386786,0.1861566,0.8005323,-0.56483346
book,1.0844718,-0.5464933,-0.21505918,2.1402981,0.1890409
introduce,-1.4810688,-0.4768056,0.038694974,0.8818256,0.08662395
fundamental,-0.6925378,-1.5032082,0.2583694,-0.40652314,0.82762504
suite,-1.1514102,-0.8791279,-0.23395889,-0.2709164,0.97788244
algorithmic,-1.129063,0.33422723,1.0258862,0.511955,1.4389843
modern,-1.2544937,-0.34139898,0.3250539,0.20366254,0.16477278
begin,-0.34370416,-0.40783763,-0.3169412,0.48573613,-0.094299726
include,-0.28936785,0.23119473,-0.15745102,0.50610656,-0.51714146
proceed,-1.0028733,-1.4052047,0.134314,0.46213663,-0.6862928
duce,-1.2755057,-0.57736814,0.49034885,0.75102013,-0.2729249
basic,-0.7464832,-0.95401204,0.34495452,0.9278931,0.70402664
idea,-0.89378273,-0.5778144,-0.5971956,0.84750473,0.37082773
component,-0.51374036,-1.1702546,0.022585295,0.30747032,-0.048091404
ready,-1.3187993,-1.7804683,0.20049624,0.34970215,-0.17753714
principle,-0.8938376,-0.8297367,0.6716732,0.5086057,0.98968244
ing,-1.3029168,0.38420278,-0.34933296,0.3715859,0.10749517
like,-0.062362343,0.20750123,-0.6961572,-0.005520315,-0.5783034
ﬁnally,1.0548755,-1.0190959,-0.18928635,0.6200867,-1.1244928
ere,-1.4401683,-1.9946971,1.2916148,1.2385055,2.3922055
choose,-0.2978319,-0.9955751,-0.80702883,0.09982637,-1.281917
est,1.0211003,-1.718862,-2.3105345,-0.48819077,2.772977
thing,0.51844585,-0.4016747,-0.70365417,-0.109971665,-0.4176792
ﬁgure,-0.03760915,-1.1977631,0.2786824,1.0928227,-0.20345935
write,0.5644631,0.16725034,0.08803718,0.7626869,-0.6763395
pascal,0.25644082,-1.5001801,-0.15384683,0.026663221,-0.89267355
ords,-0.45790043,-0.67744297,0.8054574,0.6769067,-1.9918132
chapter,-1.3577807,-0.45801744,0.24118239,0.9661367,-0.13588706
user,-0.10220048,0.4203019,-0.7501623,-0.94082874,-0.9666547
need,-0.38381433,-1.0552379,-0.4438768,-0.119340844,-0.5118191
help,-0.40582627,0.071281075,-1.0413347,-0.2977837,-0.32145208
certain,0.58346045,-0.6047102,-0.76991194,-0.4223984,-0.34605777
eliza,0.22507551,-0.06385323,-0.37307328,-1.5786651,-0.103378005
mean,-0.023887916,-1.4412925,-0.8433765,0.014458652,-0.6441216
get,0.21645288,-0.9556636,-0.7750116,0.0031139608,-0.76160294
mother,0.19393753,-0.24440926,-1.1111059,-2.2565334,-0.2475553
tell,0.19177456,-0.9084477,-0.86523145,-0.3055905,-0.4312019
family,-0.58186245,0.034276158,-0.24809514,0.29660305,-0.008517361
take,-0.34763277,-1.285154,0.033730187,0.7055729,-0.8560821
care,-0.081482664,0.118267804,-0.748168,-0.34241477,-0.311342
father,0.3346605,1.004591,-1.516319,-2.4720807,-0.21788588
dialogue,0.07579683,0.5479202,0.10595886,-0.12549166,0.013867701
early,-0.9581656,-0.19478771,0.0825604,0.36082172,0.37128502
system,-0.78464276,0.24344228,-0.16099523,-0.14239623,-0.4629248
carry,0.037770282,-0.1665,-0.49854168,-0.49687797,0.3395955
limited,-1.1309841,-0.5528054,-0.1827384,-0.4190691,0.23380777
response,-0.028657597,0.068272136,-0.9097786,-1.0402347,-1.3949212
rogerian,0.28090578,-0.6937206,-0.1100896,-0.8954582,1.5675133
weizenbaum,0.2989305,0.3776798,-0.59883446,-1.537788,0.060390804
